Title,Year,Conference,Subfield,Authors,Author_Institutions,Author_Countries,Status,Track,Citations
Neural Machine Translation between Low-Resource Languages with Synthetic Pivoting,2024,COLING,Computational Linguistics,Khalid N. Elmadani; Jan Buys,"Department of Computer Science, University of Cape Town; Department of Computer Science, University of Cape Town",South Africa,Main,main,3
New Methods for Exploring Intonosyntax: Introducing an Intonosyntactic Treebank for Nigerian Pidgin,2024,COLING,Computational Linguistics,Emmett Strickland; Anne Lacheret-Dujour; Sylvain Kahane; Marc Evrard; Perrine Quennehen; Bernard Caron; Francis Egbokhare; Bruno Guillaume,"Paris Nanterre University, CNRS, MoDyCo, France+Paris-Saclay University, CNRS, LISN, France; Paris Nanterre University, CNRS, MoDyCo, France; Paris Nanterre University, CNRS, MoDyCo, France; Paris-Saclay University, CNRS, LISN, France; Paris Nanterre University, CNRS, MoDyCo, France; CNRS, LLACAN, IFRA, France; University of Ibadan, Nigeria; Université de Lorraine, CNRS, Inria, LORIA, F-54000 Nancy, France",France;Nigeria,Main,main,1
The IgboAPI Dataset: Empowering Igbo Language Technologies through Multi-dialectal Enrichment,2024,COLING,Computational Linguistics,Chris Chinenye Emezue; Ifeoma Okoh; Chinedu Emmanuel Mbonu; Chiamaka Chukwuneke; Daisy Monika Lal; Ignatius Ezeani; Paul Rayson; Ijemma Onwuzulike; Chukwuma Onyebuchi Okeke; Gerald Okey Nweya; Bright Ikechukwu Ogbonna; Chukwuebuka Uchenna Oraegbunam; Esther Chidinma Awo-Ndubuisi; Akudo Amarachukwu Osuagwu,"Nkọwa okwu+Lanfrica+Masakhane; Nkọwa okwu+Lanfrica+Masakhane; Nnamdi Azikiwe University; UCREL, Lancaster University, UK; UCREL, Lancaster University, UK; UCREL, Lancaster University, UK; UCREL, Lancaster University, UK; Nkọwa okwu; Nkọwa okwu+University of Nigeria, Nsukka; Nkọwa okwu; University of Nigeria, Nsukka; Nkọwa okwu+University of Ibadan; University of Nigeria, Nsukka; University of Ibadan",;South Africa;Nigeria;United Kingdom,Main,main,0
Few-Shot Pidgin Text Adaptation via Contrastive Fine-Tuning,2022,COLING,Computational Linguistics,Ernie Chang; Jesujoba O. Alabi; David Ifeoluwa Adelani; Vera Demberg,"Department of Language Science and Technology, Saarland University, Germany+Masakhane NLP; Inria, France+Masakhane NLP; Spoken Language Systems (LSV), Saarland Informatics Campus, Germany+Masakhane NLP; Department of Language Science and Technology, Saarland University, Germany+Masakhane NLP",Germany;South Africa;France,Main,main,3
Generic Overgeneralization in Pre-trained Language Models,2022,COLING,Computational Linguistics,Sello Ralethe; Jan Buys,"Department of Computer Science, University of Cape Town, South Africa; Department of Computer Science, University of Cape Town, South Africa",South Africa,Main,main,12
Global Readiness of Language Technology for Healthcare: What Would It Take to Combat the Next Pandemic?,2022,COLING,Computational Linguistics,Ishani Mondal; Kabir Ahuja; Mohit Jain; Jacki O’Neill; Kalika Bali; Monojit Choudhury,"Microsoft Research Labs, Bangalore, India+Microsoft Africa Research Institute, Nairobi, Kenya; Microsoft Research Labs, Bangalore, India+Microsoft Africa Research Institute, Nairobi, Kenya; Microsoft Research Labs, Bangalore, India; Microsoft Africa Research Institute, Nairobi, Kenya; Microsoft Research Labs, Bangalore, India; Microsoft Research Labs, Bangalore, India",India;Kenya,Main,main,7
A Boolean Task Algebra for Reinforcement Learning,2020,NIPS,Artificial Intelligence,Geraud Nangue Tasse; Steven James; Benjamin Rosman,"School of Computer Science and Applied Mathematics, University of the Witwatersrand, Johannesburg, South Africa; School of Computer Science and Applied Mathematics, University of the Witwatersrand, Johannesburg, South Africa; School of Computer Science and Applied Mathematics, University of the Witwatersrand, Johannesburg, South Africa",South Africa,Poster,main,70
A game-theoretic analysis of networked system control for common-pool resource management using multi-agent reinforcement learning,2020,NIPS,Artificial Intelligence,Arnu Pretorius; Scott Cameron; Elan van Biljon; Thomas Makkink; Shahil Mawjee; Jeremy du Plessis; Jonathan Shock; Alexandre Laterre; Karim Beguir,"InstaDeep, Cape Town, South Africa; University of Oxford, Oxford, UK; Stellenbosch University, Stellenbosch, South Africa; University of Cape Town, Cape Town, South Africa; University of Witwatersrand, Johannesburg, South Africa; University of Cape Town, Cape Town, South Africa; University of Cape Town, Cape Town, South Africa; InstaDeep, London, UK; InstaDeep, London, UK",South Africa;United Kingdom,Poster,main,15
Fair Performance Metric Elicitation,2020,NIPS,Artificial Intelligence,Gaurush Hiranandani; Harikrishna Narasimhan; Sanmi Koyejo,UIUC; Google Research USA; UIUC + Google Research Accra,United States;Ghana,Poster,main,24
Fairness with Overlapping Groups; a Probabilistic Perspective,2020,NIPS,Artificial Intelligence,Forest Yang; Mouhamadou Cisse; Sanmi Koyejo,UC Berkeley; Google Research Accra; Google Research Accra + Illinois,United States;Ghana,Poster,main,101
Constructing a Visual Dataset to Study the Effects of Spatial Apartheid in South Africa,2021,NIPS,Artificial Intelligence,Raesetje Sefala;Timnit Gebru;Luzango Mfupe;Nyalleng Moorosi;Richard Klein,University of the Witwatersrand;Distributed AI Research Institute (DAIR);;Google;University of the Witwatersrand,South Africa;;United States,Poster,Datasets & Benchmarks,10
HumBugDB: A Large-scale Acoustic Mosquito Dataset,2021,NIPS,Artificial Intelligence,Ivan Kiskin;Marianne Sinka;Adam D. Cobb;Waqas Rafique;Lawrence Wang;Davide Zilli;Benjamin Gutteridge;Rinita Dam;Theodoros Marinos;Yunpeng Li;Dickson Msaky;Emmanuel Kaindoa;Gerard Killeen;Eva Herreros-Moya;Kathy Willis;Stephen J. Roberts,University of Oxford;;US Army Research Lab;University of Oxford;;;;;;University of Oxford;;Ifakara Health Institute;;;;University of Oxford,United Kingdom;United States;Tanzania,Poster,Datasets & Benchmarks,28
Dispelling the Mirage of Progress in Offline MARL through Standardised Baselines and Evaluation,2024,NIPS,Artificial Intelligence,Juan Claude Formanek;Callum Rhys Tilbury;Louise Beyers;Jonathan Phillip Shock;Arnu Pretorius,University of Cape Town;InstaDeep;InstaDeep;University of Cape Town;InstaDeep,South Africa;United Kingdom,Poster,Datasets & Benchmarks,1
LuSh-NeRF: Lighting up and Sharpening NeRFs for Low-light Scenes,2024,NIPS,Artificial Intelligence,Zefan Qu;Ke Xu;Gerhard Petrus Hancke;Rynson W. H. Lau,Tongji University;City University of Hong Kong;University of Pretoria;City University of Hong Kong,China;South Africa,Poster,main,1
CVQA: Culturally-diverse Multilingual Visual Question Answering Benchmark,2024,NIPS,Artificial Intelligence,David Orlando Romero Mogrovejo;Chenyang Lyu;Haryo Akbarianto Wibowo;Santiago Góngora;Aishik Mandal;Sukannya Purkayastha;Jesus-German Ortiz-Barajas;Emilio Villa Cueva;Jinheon Baek;Soyeong Jeong;Injy Hamed;Zheng Xin Yong;Zheng Wei Lim;Paula Mónica Silva;Jocelyn Dunstan;Mélanie Jouitteau;David LE MEUR;Joan Nwatu;Ganzorig Batnasan;Munkh-Erdene Otgonbold;Munkhjargal Gochoo;Guido Ivetta;Luciana Benotti;Laura Alonso Alemany;Hernán Maina;Jiahui Geng;Tiago Timponi Torrent;Frederico Belcavello;Marcelo Viridiano;Jan Christian Blaise Cruz;Dan John Velasco;Oana Ignat;Zara Burzo;Chenxi Whitehouse;Artem Abzaliev;Teresa Clifford;Gráinne Caulfield;Teresa Lynn;Christian Salamea-Palacios;Vladimir Araujo;Yova Kementchedjhieva;Mihail Minkov Mihaylov;Israel Abebe Azime;Henok Biadglign Ademtew;Bontu Fufa Balcha;Naome A Etori;David Ifeoluwa Adelani;Rada Mihalcea;Atnafu Lambebo Tonja;Maria Camila Buitrago Cabrera;Gisela Vallejo;Holy Lovenia;Ruochen Zhang;Marcos Estecha-Garitagoitia;Mario Rodríguez-Cantelar;Toqeer Ehsan;Rendi Chevi;Muhammad Farid Adilazuarda;Ryandito Diandaru;Samuel Cahyawijaya;Fajri Koto;Tatsuki Kuribayashi;Haiyue Song;Aditya Nanda Kishore Khandavally;Thanmay Jayakumar;Raj Dabre;Mohamed Fazli Mohamed Imam;Kumaranage Ravindu Yasas Nagasinghe;Alina Dragonetti;Luis Fernando D'Haro;Olivier NIYOMUGISHA;Jay Gala;Pranjal A Chitale;Fauzan Farooqui;Thamar Solorio;Alham Fikri Aji,"Mohamed bin Zayed University of Artificial Intelligence;Mohamed bin Zayed University of Artificial Intelligence;NICT, The University of Tokyo;Universidad de la República;Technische Universität Darmstadt;Technische Universität Darmstadt;Mohamed bin Zayed University of Artificial Intelligence;CIMAT;Google;Korea Advanced Institute of Science & Technology;Mohamed bin Zayed University of Artificial Intelligence;Brown University;University of Melbourne;Universidad de Santiago de Chile;Pontificia Universidad Catolica de Chile;CNRS;;University of Michigan - Ann Arbor;United Arab Emirates University;;United Arab Emirates University;Universidad Nacional de Córdoba;Universidad nacional de Córdoba ;Universidad Nacional de Córdoba;Universidad Nacional de Córdoba, Argentina;Mohamed bin Zayed University of Artificial Intelligence;Federal University of Juiz de Fora;Case Western Reserve University;Universidade Federal de Juiz de Fora;Samsung;Samsung;University of Michigan - Ann Arbor;Skyline High School;University of Cambridge;University of Michigan - Ann Arbor;Dublin City University;Dublin City University;Mohamed bin Zayed University of Artificial Intelligence;Universidad Politécnica Salesiana;KU Leuven;Mohamed bin Zayed University of Artificial Intelligence;Mohamed bin Zayed University of Artificial Intelligence;Universität des Saarlandes;Ethiopian Artificial Intelligence Institute;Addis Ababa Institute of Technology;University of Minnesota - Twin Cities;University College London, University of London;University of Michigan;Instituto Politécnico Nacional;Universität Stuttgart;University of Melbourne;AI Singapore;;Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;;Mohamed bin Zayed University of Artificial Intelligence;Mohamed bin Zayed University of Artificial Intelligence;Institut Teknologi Bandung;Hong Kong University of Science and Technology;Mohamed bin Zayed University of Artificial Intelligence;Mohamed bin Zayed University of Artificial Intelligence;Kyoto University;Indian Institute of Technology, Madras;Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology;National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology;Mohamed bin Zayed University of Artificial Intelligence;Mohamed bin Zayed University of Artificial Intelligence;Universidad de la República;Universidad Politécnica de Madrid;University of Rwanda;AI4Bharat;Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras;Centre for Development of Telematics;University of Houston;Mohamed bin Zayed University of Artificial Intelligence",United Arab Emirates;Japan;Uruguay;Germany;Mexico;United States;South Korea;Australia;Chile;France;Argentina;Brazil;;United Kingdom;Ireland;Ecuador;Belgium;Ethiopia;Singapore;Spain;Indonesia;China;India;Rwanda,Oral,Datasets & Benchmarks,34
Boosting Weakly Supervised Referring Image Segmentation via Progressive Comprehension,2024,NIPS,Artificial Intelligence,Zaiquan Yang;Yuhao LIU;Jiaying Lin;Gerhard Petrus Hancke;Rynson W. H. Lau,City University of Hong Kong;;City University of Hong Kong;University of Pretoria;,China;South Africa,Poster,main,2
GameTraversalBenchmark: Evaluating Planning Abilities Of Large Language Models Through Traversing 2D Game Maps,2024,NIPS,Artificial Intelligence,Muhammad Umair Nasir;Steven James;Julian Togelius,Axon Corporate Services;University of the Witwatersrand;New York University,;South Africa;United States,Poster,Datasets & Benchmarks,1
Adjoint-aided inference of Gaussian process driven differential equations,2022,NIPS,Artificial Intelligence,Paterne Gahungu;Christopher W Lanyon;Mauricio A Álvarez;Engineer Bainomugisha;Michael Thomas Smith;Richard David Wilkinson,Makerere University;;;;University of Sheffield;University of Nottingham,Uganda;United Kingdom,Accept,main,7
Towards a Standardised Performance Evaluation Protocol for Cooperative MARL,2022,NIPS,Artificial Intelligence,Rihab Gorsane;Omayma Mahjoub;Ruan John de Kock;Roland Dubb;Siddarth Singh;Arnu Pretorius,"InstaDeep;National School of Computer Science, Tunisia;InstaDeep;;University of the Witwatersrand;InstaDeep",United Kingdom;Tunisia;South Africa,Accept,main,56
Critical initialisation for deep signal propagation in noisy rectifier neural networks,2018,NIPS,Artificial Intelligence,Arnu Pretorius; Elan van Biljon; Steve Kroon; Herman Kamper,"Computer Science Division+CAIR†,Stellenbosch University; Computer Science Division,Stellenbosch University; Computer Science Division,Stellenbosch University; Department of Electrical and Electronic Engineering,Stellenbosch University",United States;South Africa,Poster,main,20
Zero-Shot Transfer with Deictic Object-Oriented Representation in Reinforcement Learning,2018,NIPS,Artificial Intelligence,Ofir Marom; Benjamin Rosman,"University of the Witwatersrand, Johannesburg, South Africa; University of the Witwatersrand, Johannesburg, South Africa + Council for Scientiﬁc and Industrial Research, Pretoria, South Africa",South Africa,Poster,main,17
Towards A Richer 2D Understanding of Hands at Scale,2023,NIPS,Artificial Intelligence,Tianyi Cheng;Dandan Shan;Ayda Sultan Hassen;Richard Ely Locke Higgins;David Fouhey,Carnegie Mellon University;University of Michigan;Addis Ababa University;University of Michigan;University of Michigan,United States;Ethiopia,Poster,main,17
"On quantum backpropagation, information reuse, and cheating measurement collapse",2023,NIPS,Artificial Intelligence,Amira Abbas;Robbie King;Hsin-Yuan Huang;William J. Huggins;Ramis Movassagh;Dar Gilboa;Jarrod Ryan McClean,"University of KwaZulu-Natal;California Institute of Technology;California Institute of Technology;;;;Research, Google",South Africa;United States,Spotlight,main,60
Dynamics Generalisation in Reinforcement Learning via Adaptive Context-Aware Policies,2023,NIPS,Artificial Intelligence,Michael Beukman;Devon Jarvis;Richard Klein;Steven James;Benjamin Rosman,";University College London, University of London;University of the Witwatersrand;University of the Witwatersrand;University of the Witwatersrand",United Kingdom;South Africa,Poster,main,16
An RRT-based path planner for use in trajectory imitation,2010,ICRA,Robotics,Jonathan Claassens;Jonathan Claassens,"Mobile Intelligent Autonomous Systems (MIAS), Council of Scientific, Council of Scientific and Industrial Research, South Africa",South Africa,Poster,main,16
Desktop orthogonal-type robot with abilities of compliant motion and stick-slip motion for lapping of LED lens molds,2010,ICRA,Robotics,Fusaomi Nagata;Takanori Mizobuchi;Shintaro Tani;Tetsuo Hase;Zenku Haga;Keigo Watanabe;Maki K. Habib;Kazuo Kiguchi;Fusaomi Nagata;Takanori Mizobuchi;Shintaro Tani;Tetsuo Hase;Zenku Haga;Keigo Watanabe;Maki K. Habib;Kazuo Kiguchi,"Department of Mechanical Engineering, Faculty of Engineering, Tokyo University of Science, Yamaguchi, Japan; Department of Mechanical Engineering, Faculty of Engineering, Tokyo University of Science, Yamaguchi, Japan; Department of Mechanical Engineering, Faculty of Engineering, Tokyo University of Science, Yamaguchi, Japan; Research and Development Center, Meiho Company Limited, Nogata, Japan; Research and Development Center, Meiho Company Limited, Nogata, Japan; Department of Intelligent Mechanical Systems, Graduate School of Natural Science and Technology, Okayama University, Okayama, Japan; Mechanical Engineering Department, School of Sciences and Engineering, American University, Cairo, Cairo, Egypt; Department of Mechanical Engineering, Faculty of Science and Engineering, Saga University, Saga, Japan",Japan;Egypt,Poster,main,2
Performances of the central-axis approach in grasp analysis,2010,ICRA,Robotics,B. Bounab;D. Sidobre;A. Zaatri;B. Bounab;D. Sidobre;A. Zaatri,"LAAS-CNRS, University of Toulouse III, Toulouse, France; LAAS-CNRS, University of Toulouse III, Toulouse, France; Laboratory of Advanced Technology Applications, Constantine, Algeria",France;Algeria,Poster,main,2
Robust adaptive formation control of fully actuated marine vessels using local potential functions,2010,ICRA,Robotics,Jawhar Ghommam;Maarouf Saad;Faiçal Mnif;Jawhar Ghommam;Maarouf Saad;Faiçal Mnif,"Research unit on Mechatronics and Autonomous Systems, École Nationale d''Ingénieurs de Sfax, Sfax, Tunisia; Department of Electrical Engineering, École de Technologie supérieure, Montreal, QUE, Canada; Research unit on Mechatronics and Autonomous Systems, École Nationale d''Ingénieurs de Sfax, Sfax, Tunisia",Tunisia;Canada,Poster,main,10
Undergraduate Robotics Education in Technologically Underserved Communities,2007,ICRA,Robotics,M. Bernardine Dias;Brett Browning;G. Ayorkor Mills-Tettey;Nathan Amanquah;Noura El-Moughny;M. Bernardine Dias;Brett Browning;G. Ayorkor Mills-Tettey;Nathan Amanquah;Noura El-Moughny,"Carnegie Mellon University, Pittsburgh, USA; Carnegie Mellon University, Pittsburgh, USA; Carnegie Mellon University, Pittsburgh, USA; Ashesi University, Ghana, Ghana; Carnegie Mellon University, Doha, USA",United States;Ghana,Poster,main,16
Posture Control for a Low-Cost Commercially-Available Hexapod Robot,2020,ICRA,Robotics,Mayur Tikam;Daniel Withey;Nicolaas J. Theron;Mayur Tikam;Daniel Withey;Nicolaas J. Theron,"Mobile Intelligent Autonomous Systems department, the CSIR; Mobile Intelligent Autonomous Systems department, the CSIR; Department of Mechanical and Aeronautical Engineering, UP",South Africa,Poster,main,2
A novel method for computing the 3D friction cone using complimentary constraints,2021,ICRA,Robotics,Dean Pretorius;Callen Fisher;Dean Pretorius;Callen Fisher,"Department of Electrical and Electronic Engineering, University of Stellenbosch, Stellenbosch, South Africa; Department of Electrical and Electronic Engineering, University of Stellenbosch, Stellenbosch, South Africa",South Africa,Poster,main,8
AcinoSet: A 3D Pose Estimation Dataset and Baseline Models for Cheetahs in the Wild,2021,ICRA,Robotics,Daniel Joska;Liam Clark;Naoya Muramatsu;Ricardo Jericevich;Fred Nicolls;Alexander Mathis;Mackenzie W. Mathis;Amir Patel;Daniel Joska;Liam Clark;Naoya Muramatsu;Ricardo Jericevich;Fred Nicolls;Alexander Mathis;Mackenzie W. Mathis;Amir Patel,"African Robotics Unit (ARU), University of Cape Town, South Africa; African Robotics Unit (ARU), University of Cape Town, South Africa; University of Tsukuba, Japan; African Robotics Unit (ARU), University of Cape Town, South Africa; African Robotics Unit (ARU), University of Cape Town, South Africa; École Polytechnique Fédérale de Lausanne, Switzerland; École Polytechnique Fédérale de Lausanne, Switzerland; African Robotics Unit (ARU), University of Cape Town, South Africa",South Africa;Japan;Switzerland,Poster,main,66
Optimization-Inspired Controller Design for Transient Legged Locomotion,2021,ICRA,Robotics,Callen Fisher;Joshua Van Zyl;Reuben Govender;Amir Patel;Callen Fisher;Joshua Van Zyl;Reuben Govender;Amir Patel,"Department of Electrical Engineering, University of Cape Town and Stellenbosch University; Department of Electrical Engineering, University of Cape Town; Department of Mechanical Engineering, University of Cape Town; Department of Electrical Engineering, University of Cape Town and Stellenbosch University",South Africa,Poster,main,3
Near-surface effects on the controlled motion of magnetotactic bacteria,2017,ICRA,Robotics,Islam S. M. Khalil;Ahmet Fatih Tabak;Tijmen Hageman;Mohamed Ewis;Marc Pichel;Mohamed E. Mitwally;Nermeen Serag El-Din;Leon Abelmann;Metin Sitti;Islam S. M. Khalil;Ahmet Fatih Tabak;Tijmen Hageman;Mohamed Ewis;Marc Pichel;Mohamed E. Mitwally;Nermeen Serag El-Din;Leon Abelmann;Metin Sitti,"German University in Cairo, New Cairo City, Egypt; Physical Intelligence Department, Max Planck Institute for Intelligent Systems, Stuttgart, Germany; Korean Institute of Science and Technology, Saarbrücken, Germany; German University in Cairo, New Cairo City, Egypt; Korean Institute of Science and Technology, Saarbrücken, Germany; German University in Cairo, New Cairo City, Egypt; German University in Cairo, New Cairo City, Egypt; MESA+ Institute for Nanotechnology, University of Twente, Enschede, AE, The Netherlands; Physical Intelligence Department, Max Planck Institute for Intelligent Systems, Stuttgart, Germany",Egypt;Germany;;Netherlands,Poster,main,13
Giving advice to agents with hidden goals,2014,ICRA,Robotics,Benjamin Rosman;Subramanian Ramamoorthy;Benjamin Rosman;Subramanian Ramamoorthy,"Institute of Perception, CSIR, South Africa; The University of Edinburgh, Edinburgh, Edinburgh, GB",South Africa;United Kingdom,Poster,main,7
Magnetic-based closed-loop control of paramagnetic microparticles using ultrasound feedback,2014,ICRA,Robotics,Islam S. M. Khalil;Pedro Ferreira;Ricardo Eleutério;Chris L. de Korte;Sarthak Misra;Islam S. M. Khalil;Pedro Ferreira;Ricardo Eleutério;Chris L. de Korte;Sarthak Misra,"German University in Cairo, New Cairo City, Egypt; New University of Lisbon, Monte de Caparica, Portugal; New University of Lisbon, Monte de Caparica, Portugal; MUSIC-Medical Ultrasound Imaging Center, Radboud University Nijmegen Medical Centre, The Netherlands; MIRA-Institute for Biomedical Technology and Technical Medicine, University of Twente, The Netherlands",Egypt;Portugal;Netherlands,Poster,main,72
Motion planning for paramagnetic microparticles under motion and sensing uncertainty,2014,ICRA,Robotics,Wen Sun;Islam S. M. Khalil;Sarthak Misra;Ron Alterovitz;Wen Sun;Islam S. M. Khalil;Sarthak Misra;Ron Alterovitz,"Department of Computer Science, University of North Carolina at Chapel Hill, NC, USA; German University in Cairo, New Cairo City, Egypt; MIRA-Institute for Biomedical Technology and Technical Medicine (Robotics & Mechatronics Group), University of Twente, The Netherlands; Department of Computer Science, University of North Carolina at Chapel Hill, NC, USA",United States;Egypt;Netherlands,Poster,main,8
Passively safe partial motion planning for mobile robots with limited field-of-views in unknown dynamic environments,2014,ICRA,Robotics,S. Bouraine;Th. Fraichard;O. Azouaoui;Hassen Salhi;S. Bouraine;Th. Fraichard;O. Azouaoui;Hassen Salhi,"CDTA (DZ); INRIA, CNRS-LIG and Grenoble Univ. CFR; CDTA (DZ); Blida Univ. (DZ)",Algeria;France,Poster,main,31
Rapid acceleration and braking: Inspirations from the cheetah's tail,2014,ICRA,Robotics,Amir Patel;M. Braae;Amir Patel;M. Braae,"Department of Electrical Engineering, University of Cape Town, South Africa; Department of Electrical Engineering, University of Cape Town, South Africa",South Africa,Poster,main,66
Accelerating Model Learning with Inter-Robot Knowledge Transfer,2018,ICRA,Robotics,Ndivhuwo Makondo;Benjamin Rosman;Osamu Hasegawa;Ndivhuwo Makondo;Benjamin Rosman;Osamu Hasegawa,"Mobile Intelligent Autonomous Systems, Tokyo Institute of Technology Japan, South Africa; Mobile Intelligent Autonomous Systems, University of the Witwatersrand, South Africa; Faculty of Engineering, SOINN Inc.",Japan;South Africa,Poster,main,18
Embroidered Electrodes for Control of Affordable Myoelectric Prostheses,2018,ICRA,Robotics,Samuel Pitou;Fan Wu;Ali Shafti;Brendan Michael;Riaan Stopforth;Matthew Howard;Samuel Pitou;Fan Wu;Ali Shafti;Brendan Michael;Riaan Stopforth;Matthew Howard,"Department of Informatics, King's College London, UK; Department of Informatics, King's College London, UK; Department of Informatics, King's College London, UK; Department of Informatics, King's College London, UK; University of KwaZulu-Natal, South Africa; Department of Informatics, King's College London, UK",United Kingdom;South Africa,Poster,main,31
Investigation of a Bipedal Platform for Rapid Acceleration and Braking Manoeuvres,2018,ICRA,Robotics,Alexander Blom;Amir Patel;Alexander Blom;Amir Patel,"Faculty of Engineering and the Built Environment, University of Cape Town, Cape Town, The Republic of South Africa; Faculty of Engineering and the Built Environment, University of Cape Town, Cape Town, The Republic of South Africa",South Africa,Poster,main,12
Adaptive Tracking Control for Industrial Robot Manipulators with Unknown Inner loop Architecture,2022,ICRA,Robotics,Joseph Jean-Baptiste Mvogo Ahanda;Achille Melingui;Othman Lakhal;Bernard Essimbi Zobo;Hela Kadri;Rochdi Merzouki;Joseph Jean-Baptiste Mvogo Ahanda;Achille Melingui;Othman Lakhal;Bernard Essimbi Zobo;Hela Kadri;Rochdi Merzouki,"Electrical and Power Engineering Department of Higher Technical Teachers Training College, the University of Bamenda, NW Region, Cameroon; Electrical and Telecommunications Engineering Department of Ecole Nationale Supérieure Polytechnique, the University of Yaoundé, Yaoundé, Cameroon; CRIStAL Laboratory, CNRS-UMR, University of Lille, Nord, France; Department of Physics, Laboratory of Electronics, Faculty of Science, University of Yaoundé, Yaoundé, Cameroon; CRIStAL Laboratory, CNRS-UMR, University of Lille, Nord, France; CRIStAL Laboratory, CNRS-UMR, University of Lille, Nord, France",Cameroon;France,Poster,main,0
"Development of a Collaborative Wheeled Mobile Robot: Design Considerations, Drive Unit Torque Control, and Preliminary Result",2022,ICRA,Robotics,Mehmet C. Yildirim;Mohamadreza Sabaghian;Thore Goll;Clemens Kössler;Christoph Jähne;Abdalla Swikir;Andriy Sarabakha;Sami Haddadin;Mehmet C. Yildirim;Mohamadreza Sabaghian;Thore Goll;Clemens Kössler;Christoph Jähne;Abdalla Swikir;Andriy Sarabakha;Sami Haddadin,"Munich Institute of Robotics and Machine Intelligence (MIRMI), Technical University of Munich (TUM), Munich, Germany; Franka Emika GmbH, Munich, Germany; Franka Emika GmbH, Munich, Germany; Franka Emika GmbH, Munich, Germany; Franka Emika GmbH, Munich, Germany; Department of Electrical and Electronic Engineering, Omar Al-Mukhtar University (OMU), AlBaida, Libya; School of Electrical and Electronic Engineering (EEE), Nanyang Technological University (NTU), Singapore; Munich Institute of Robotics and Machine Intelligence (MIRMI), Technical University of Munich (TUM), Munich, Germany",Germany;Libya;Singapore,Poster,main,1
Smoothing Away From The Edge For Mesh Estimation in Urban Outdoor Environments,2022,ICRA,Robotics,Jason Pilbrough;Paul Amayo;Jason Pilbrough;Paul Amayo,"African Robotics Unit, Dept. Electrical Engineering, University of Cape Town, South Africa; African Robotics Unit, Dept. Electrical Engineering, University of Cape Town, South Africa",South Africa,Poster,main,0
A Passivity-based Approach on Relocating High-Frequency Robot Controller to the Edge Cloud,2023,ICRA,Robotics,Xiao Chen;Hamid Sadeghian;Lingyun Chen;Mario Tröbinger;Abadalla Swirkir;Abdeldjallil Naceri;Sami Haddadin;Xiao Chen;Hamid Sadeghian;Lingyun Chen;Mario Tröbinger;Abadalla Swirkir;Abdeldjallil Naceri;Sami Haddadin,"Munich Institute of Robotics and Machine Intelligence, Technical University of Munich, Munich, Germany; Faculty of Engineering, University of Isfahan, Isfahan, Iran; Centre for Tactile Internet with Human-in-the-Loop (CeTI); Munich Institute of Robotics and Machine Intelligence, Technical University of Munich, Munich, Germany; Department of Electrical and Electronic Engineering, Omar Al-Mukhtar University (OMU), Albaida, Libya; Munich Institute of Robotics and Machine Intelligence, Technical University of Munich, Munich, Germany; Centre for Tactile Internet with Human-in-the-Loop (CeTI)",Germany;Iran;;Libya,Poster,main,5
Analytical Approach to Inverse Kinematics of Single Section Mobile Continuum Manipulators,2023,ICRA,Robotics,Audrey Hyacinthe Bouyom Boutchouang;Achille Melingui;J.J.B. Mvogo Ahanda;Xinrui Yang;Othman Lakhal;Frederic Biya Motto;Rochdi Merzouki;Audrey Hyacinthe Bouyom Boutchouang;Achille Melingui;J.J.B. Mvogo Ahanda;Xinrui Yang;Othman Lakhal;Frederic Biya Motto;Rochdi Merzouki,"Dept. Electrical and Telecommunications Engineering, University of Yaounde I, Yaounde, Cameroon; Dept Electrical and Power Engineering, University of Ebolowa, Ebolowa, Cameroon; Dept Electrical and Power Engineering, University of Ebolowa, Ebolowa, Cameroon; CRIStAL Laboratory, CNRS-UMR, Villeneuve d'Ascq, France; CRIStAL Laboratory, CNRS-UMR, Villeneuve d'Ascq, France; Dept. Physic's, University of Yaounde I, Yaounde, Cameroon; CRIStAL Laboratory, CNRS-UMR, Villeneuve d'Ascq, France",Cameroon;France,Poster,main,2
CLIO: a Novel Robotic Solution for Exploration and Rescue Missions in Hostile Mountain Environments,2023,ICRA,Robotics,Michele Focchi;Mohamed Bensaadallah;Marco Frego;Angelika Peer;Daniele Fontanelli;Andrea Del Prete;Luigi Palopoli;Michele Focchi;Mohamed Bensaadallah;Marco Frego;Angelika Peer;Daniele Fontanelli;Andrea Del Prete;Luigi Palopoli,"Dipartimento di Ingegneria and Scienza dell'Informazione (DISI), University of Trento; Department of Electronics, University of Batna 2, Algeria; Faculty of Science and Technology, Free University of Bozen-Bolzano; Faculty of Science and Technology, Free University of Bozen-Bolzano; Dipartimento di Ingegneria Industriale (DII), University of Trento; Dipartimento di Ingegneria Industriale (DII), University of Trento; Dipartimento di Ingegneria and Scienza dell'Informazione (DISI), University of Trento",Italy;Algeria,Poster,main,7
